antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"['PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER']",['GREEN REGENCY TEACUP AND SAUCER'],0.012212708427219469,0.03303289770166742,0.010860748084722848,0.8892988929889298,26.921613145190115,1.0,0.010457326936586216,8.734936157428267,0.9747595778421457,0.3158584534731324,0.8855171941755303,0.6090423523607678
"['PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER ']",['GREEN REGENCY TEACUP AND SAUCER'],0.020324470482199188,0.03303289770166742,0.017890941865705272,0.8802660753880266,26.648164001173683,1.0,0.017219565711426226,8.075965984010146,0.9824415671934836,0.5044472681067345,0.87617580336768,0.7109379490173421
"['PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER']",['ROSES REGENCY TEACUP AND SAUCER '],0.01234790446146913,0.037674628210905815,0.010860748084722848,0.8795620437956205,23.346270038067964,1.0,0.010395545374953213,7.990216723339757,0.9691333715529455,0.27733026467203686,0.8748469491348141,0.5839197778786716
"['PINK REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER']",['GREEN REGENCY TEACUP AND SAUCER'],0.014375844975214061,0.03303289770166742,0.01234790446146913,0.8589341692789968,26.002386379673858,1.0,0.011873028645027855,6.854722347403732,0.9755665853560042,0.35218508997429304,0.8541151706343356,0.6163702224294029
"['PINK REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER']",['ROSES REGENCY TEACUP AND SAUCER '],0.014375844975214061,0.037674628210905815,0.012212708427219469,0.8495297805642633,22.54912180708254,1.0,0.011671103812560661,6.395454033348354,0.9695910657611446,0.3065610859728507,0.8436389355961882,0.5868462299950503
['REGENCY TEA PLATE GREEN '],['REGENCY TEA PLATE ROSES '],0.012392969806219017,0.015322217214961695,0.010455159981973862,0.8436363636363636,55.05967914438502,1.0,0.010265272206664513,6.297357913160128,0.9941584649153863,0.6057441253263708,0.8412032452673185,0.7629946524064171
"['PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER '],0.021225777377196935,0.037674628210905815,0.017890941865705272,0.8428874734607219,22.37281463647538,1.0,0.017091268594531923,6.125070947468425,0.9760196733106847,0.4362637362637362,0.8367365850001601,0.6588839281179207
['SET/6 RED SPOTTY PAPER CUPS'],['SET/6 RED SPOTTY PAPER PLATES'],0.01284362325371789,0.014646237043713385,0.010635421360973412,0.8280701754385965,56.53808367071525,1.0,0.01044731061029931,5.73113923352126,0.9950934118439023,0.6310160427807487,0.8255146212203273,0.7771120107962213
"['REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER']",['ROSES REGENCY TEACUP AND SAUCER '],0.01726002703920685,0.037674628210905815,0.014240648940964398,0.825065274151436,21.899758891651153,1.0,0.0135903838393521,5.501053990973479,0.9710985846491053,0.34994462901439644,0.8182166541828401,0.6015278523867228
['WOODEN TREE CHRISTMAS SCANDINAVIAN'],['WOODEN STAR CHRISTMAS SCANDINAVIAN'],0.012483100495718793,0.019648490310950877,0.010229833258224425,0.8194945848375451,41.70776338886497,1.0,0.009984559179083669,5.431147363677332,0.9883614638666204,0.4670781893004115,0.8158768427666234,0.6700683933362037
"[""POPPY'S PLAYHOUSE BEDROOM ""]","[""POPPY'S PLAYHOUSE KITCHEN""]",0.014375844975214061,0.01572780531771068,0.01149166291122127,0.799373040752351,50.825466401990454,1.0,0.011265562420173514,4.905981720369534,0.9946233753892028,0.6174334140435834,0.7961671981271311,0.7650160332701583
